center_frame,left_frame,right_frame,steer,throttle,brake
center_00801.jpg,left_00801.jpg,right_00801.jpg,0.0,1.0,0.0
center_02696.jpg,left_02696.jpg,right_02696.jpg,0.0011,1.0,0.0
center_03688.jpg,left_03688.jpg,right_03688.jpg,0.4019,1.0,0.0
center_03064.jpg,left_03064.jpg,right_03064.jpg,-0.0023,1.0,0.0
center_06285.jpg,left_06285.jpg,right_06285.jpg,0.0,1.0,0.0
center_05830.jpg,left_05830.jpg,right_05830.jpg,-0.017,1.0,0.0
center_01564.jpg,left_01564.jpg,right_01564.jpg,0.0004,1.0,0.0
center_03071.jpg,left_03071.jpg,right_03071.jpg,0.7743,1.0,0.0
center_06720.jpg,left_06720.jpg,right_06720.jpg,-0.0091,0.0,0.0
center_06035.jpg,left_06035.jpg,right_06035.jpg,0.0,1.0,1.0
center_04684.jpg,left_04684.jpg,right_04684.jpg,-0.0259,1.0,0.0
center_03855.jpg,left_03855.jpg,right_03855.jpg,0.011,1.0,0.0
center_01557.jpg,left_01557.jpg,right_01557.jpg,-0.0044,1.0,0.0
center_03002.jpg,left_03002.jpg,right_03002.jpg,0.0166,1.0,0.0
center_02357.jpg,left_02357.jpg,right_02357.jpg,-0.0018,1.0,0.0
center_05944.jpg,left_05944.jpg,right_05944.jpg,0.002,1.0,0.0
center_01070.jpg,left_01070.jpg,right_01070.jpg,0.015,1.0,0.0
center_06847.jpg,left_06847.jpg,right_06847.jpg,-0.4179,0.0,0.0
center_06546.jpg,left_06546.jpg,right_06546.jpg,-0.0364,1.0,0.0
center_06683.jpg,left_06683.jpg,right_06683.jpg,0.1168,0.0,0.0
center_04248.jpg,left_04248.jpg,right_04248.jpg,-0.0337,1.0,0.0
center_03948.jpg,left_03948.jpg,right_03948.jpg,-0.0227,0.0,0.0
center_04254.jpg,left_04254.jpg,right_04254.jpg,0.4472,1.0,0.0
center_05211.jpg,left_05211.jpg,right_05211.jpg,0.0,1.0,0.0
center_05402.jpg,left_05402.jpg,right_05402.jpg,0.8962,1.0,0.0
center_00534.jpg,left_00534.jpg,right_00534.jpg,0.0121,1.0,0.0
center_00842.jpg,left_00842.jpg,right_00842.jpg,0.4192,1.0,0.0
center_05321.jpg,left_05321.jpg,right_05321.jpg,0.4044,1.0,0.0
center_02338.jpg,left_02338.jpg,right_02338.jpg,0.0247,1.0,0.0
center_01545.jpg,left_01545.jpg,right_01545.jpg,0.0226,1.0,0.0
center_00213.jpg,left_00213.jpg,right_00213.jpg,0.002,1.0,0.0
center_00477.jpg,left_00477.jpg,right_00477.jpg,-0.0168,1.0,0.0
center_01798.jpg,left_01798.jpg,right_01798.jpg,0.0,1.0,0.0
center_01902.jpg,left_01902.jpg,right_01902.jpg,0.0,1.0,0.0
center_06534.jpg,left_06534.jpg,right_06534.jpg,-0.024,1.0,0.0
center_03799.jpg,left_03799.jpg,right_03799.jpg,-0.4141,1.0,0.0
center_00485.jpg,left_00485.jpg,right_00485.jpg,-0.4127,1.0,0.0
center_03537.jpg,left_03537.jpg,right_03537.jpg,-0.0087,1.0,0.0
center_04015.jpg,left_04015.jpg,right_04015.jpg,0.0004,1.0,0.0
center_05186.jpg,left_05186.jpg,right_05186.jpg,0.0,1.0,0.0
center_03803.jpg,left_03803.jpg,right_03803.jpg,0.0332,1.0,0.0
center_02055.jpg,left_02055.jpg,right_02055.jpg,0.0,1.0,0.0
center_04100.jpg,left_04100.jpg,right_04100.jpg,0.383,1.0,0.0
center_00837.jpg,left_00837.jpg,right_00837.jpg,0.0,1.0,0.0
center_04679.jpg,left_04679.jpg,right_04679.jpg,0.3986,1.0,0.0
center_04386.jpg,left_04386.jpg,right_04386.jpg,0.8774,1.0,0.0
center_04782.jpg,left_04782.jpg,right_04782.jpg,-0.0012,1.0,0.0
center_00440.jpg,left_00440.jpg,right_00440.jpg,-0.4995,1.0,0.0
center_01688.jpg,left_01688.jpg,right_01688.jpg,-0.0001,1.0,0.0
center_03333.jpg,left_03333.jpg,right_03333.jpg,0.0,1.0,0.0
center_00393.jpg,left_00393.jpg,right_00393.jpg,-0.0052,1.0,0.0
center_01162.jpg,left_01162.jpg,right_01162.jpg,0.0138,1.0,0.0
center_06808.jpg,left_06808.jpg,right_06808.jpg,-0.4004,0.0,0.0
center_00789.jpg,left_00789.jpg,right_00789.jpg,0.0,1.0,0.0
center_03001.jpg,left_03001.jpg,right_03001.jpg,-0.0592,1.0,0.0
center_04251.jpg,left_04251.jpg,right_04251.jpg,0.0053,1.0,0.0
center_04704.jpg,left_04704.jpg,right_04704.jpg,-0.0392,1.0,0.0
center_05056.jpg,left_05056.jpg,right_05056.jpg,0.0086,1.0,0.0
center_06601.jpg,left_06601.jpg,right_06601.jpg,-0.0257,1.0,0.0
center_02956.jpg,left_02956.jpg,right_02956.jpg,-0.4437,1.0,0.0
center_00868.jpg,left_00868.jpg,right_00868.jpg,-0.0033,1.0,0.0
center_05832.jpg,left_05832.jpg,right_05832.jpg,0.8297,1.0,0.0
center_06029.jpg,left_06029.jpg,right_06029.jpg,-0.0008,1.0,0.0
center_00502.jpg,left_00502.jpg,right_00502.jpg,-0.3993,1.0,0.0
center_00505.jpg,left_00505.jpg,right_00505.jpg,0.029,1.0,0.0
center_02285.jpg,left_02285.jpg,right_02285.jpg,-0.3921,1.0,0.0
center_04195.jpg,left_04195.jpg,right_04195.jpg,0.3928,1.0,0.0
center_03066.jpg,left_03066.jpg,right_03066.jpg,-0.0297,1.0,0.0
center_03706.jpg,left_03706.jpg,right_03706.jpg,-0.0057,1.0,0.0
center_00243.jpg,left_00243.jpg,right_00243.jpg,0.8952,1.0,0.0
center_05630.jpg,left_05630.jpg,right_05630.jpg,-0.8959,1.0,0.0
center_02627.jpg,left_02627.jpg,right_02627.jpg,0.4848,1.0,0.0
center_05530.jpg,left_05530.jpg,right_05530.jpg,0.0019,1.0,0.0
center_02355.jpg,left_02355.jpg,right_02355.jpg,0.0094,1.0,0.0
center_00338.jpg,left_00338.jpg,right_00338.jpg,0.0,1.0,0.0
center_01864.jpg,left_01864.jpg,right_01864.jpg,0.0,1.0,0.0
center_03111.jpg,left_03111.jpg,right_03111.jpg,-0.877,1.0,0.0
center_04256.jpg,left_04256.jpg,right_04256.jpg,0.8432,1.0,0.0
center_03924.jpg,left_03924.jpg,right_03924.jpg,0.0151,1.0,0.0
center_04976.jpg,left_04976.jpg,right_04976.jpg,0.0,1.0,0.0
center_01248.jpg,left_01248.jpg,right_01248.jpg,-0.009,1.0,0.0
center_03894.jpg,left_03894.jpg,right_03894.jpg,-0.009,1.0,0.0
center_01191.jpg,left_01191.jpg,right_01191.jpg,-0.0194,1.0,0.0
center_03378.jpg,left_03378.jpg,right_03378.jpg,0.0,1.0,0.0
center_06629.jpg,left_06629.jpg,right_06629.jpg,-0.0037,1.0,0.0
center_04235.jpg,left_04235.jpg,right_04235.jpg,-0.0142,1.0,0.0
center_04069.jpg,left_04069.jpg,right_04069.jpg,0.3033,1.0,0.0
center_02265.jpg,left_02265.jpg,right_02265.jpg,-0.001,1.0,0.0
center_04541.jpg,left_04541.jpg,right_04541.jpg,-0.0096,1.0,0.0
center_00590.jpg,left_00590.jpg,right_00590.jpg,-0.0026,1.0,0.0
center_05697.jpg,left_05697.jpg,right_05697.jpg,0.001,1.0,0.0
center_04105.jpg,left_04105.jpg,right_04105.jpg,-0.0075,1.0,0.0
center_05856.jpg,left_05856.jpg,right_05856.jpg,0.0634,1.0,0.0
center_04265.jpg,left_04265.jpg,right_04265.jpg,-0.0339,1.0,0.0
center_00445.jpg,left_00445.jpg,right_00445.jpg,0.0099,1.0,0.0
center_04360.jpg,left_04360.jpg,right_04360.jpg,0.0123,1.0,0.0
center_01089.jpg,left_01089.jpg,right_01089.jpg,-0.8136,1.0,0.0
center_04479.jpg,left_04479.jpg,right_04479.jpg,-0.3355,1.0,0.0
center_00979.jpg,left_00979.jpg,right_00979.jpg,0.0101,1.0,0.0
center_04264.jpg,left_04264.jpg,right_04264.jpg,-0.042,1.0,0.0
center_01060.jpg,left_01060.jpg,right_01060.jpg,-0.376,1.0,0.0
center_04427.jpg,left_04427.jpg,right_04427.jpg,-0.8814,1.0,0.0
center_03865.jpg,left_03865.jpg,right_03865.jpg,-0.4387,1.0,0.0
center_04689.jpg,left_04689.jpg,right_04689.jpg,-0.0121,1.0,0.0
center_00643.jpg,left_00643.jpg,right_00643.jpg,-0.0014,1.0,0.0
center_04620.jpg,left_04620.jpg,right_04620.jpg,0.0,1.0,0.0
center_04234.jpg,left_04234.jpg,right_04234.jpg,-0.035,1.0,0.0
center_06642.jpg,left_06642.jpg,right_06642.jpg,-0.3757,1.0,0.0
center_00514.jpg,left_00514.jpg,right_00514.jpg,-0.02,1.0,0.0
center_04559.jpg,left_04559.jpg,right_04559.jpg,-0.0011,1.0,0.0
